name,address,country,country_name,sector,facility_type,processing_type
Test - Meadow Wind Forest,"5651 DALHOUSIE DR NW, Calgary",CA,Canada,Food Manufacturing,Commercial,Logistics
Test - Heliotrope Moose Lilac,"93 COVEBROOK CL NE, Calgary",CA,Canada,Telecommunications,Residential,Warehousing
Test - Rosewood Dogwood Wolf,"580 HARVEST HILLS DR NE, Calgary",CA,Canada,Electricity,Commercial,Manufacturing
Test - Jasmine Ocelot Fuchsia,"768 WOODPARK BV SW, Calgary",CA,Canada,Arts & Entertainment,Residential,Manufacturing
Test - Cliff Fire Magnolia,"18 TARALEA PL NE, Calgary",CA,Canada,Garden Tools,Industrial,Warehousing
Test - Cliff Elm Bronze,"449 28 AV NW, Calgary",CA,Canada,Plastics,Industrial,Warehousing
Test - Periwinkle Opal Cactus,"26 WINDERMERE RD SW, Calgary",CA,Canada,Hobby,Residential,Manufacturing
Test - Cave Diamond Swamp,"1031 34 ST SE, Calgary",CA,Canada,Multi-Category,Commercial,Logistics
Test - Heliotrope Nutmeg Emerald,"329 3 AV NE, Calgary",CA,Canada,Trucking,Agricultural,Manufacturing
Test - Oak Tide Daisy,"66 NEW BRIGHTON GR SE, Calgary",CA,Canada,Water Utilities,Industrial,Recycling
Test - Khaki Sassafras Ocelot,"84 DOVISTA CO SE, Calgary",CA,Canada,Leather,Residential,Manufacturing
Test - Lemon Hill Jungle,"2028 3 AV NW, Calgary",CA,Canada,Electricity,Commercial,Manufacturing
Test - Peony Lavender Daffodil,"91 COVEWOOD PA NE, Calgary",CA,Canada,Technical Services,Agricultural,Warehousing
Test - Mistletoe Jasmine Hickory,"25 CITYSIDE LI NE, Calgary",CA,Canada,Technical Services,Industrial,Warehousing
Test - Buff Kale Narwhal,"77 SILVERADO SKIES CR SW, Calgary",CA,Canada,Wood Products,Industrial,Recycling
Test - Maple Magnolia Bliss,"9 HIGHWOOD PL NW, Calgary",CA,Canada,Allied Products,Commercial,Warehousing
Test - Dawn Meadow Moss,"797 RANCHVIEW CI NW, Calgary",CA,Canada,Maintenance,Commercial,Recycling
Test - Fir Hematite Peach,"903 21 AV NW, Calgary",CA,Canada,Tobacco Products,Industrial,Logistics
Test - Peak Marigold Navy,"2008 43 ST NW, Calgary",CA,Canada,Automotive Parts,Agricultural,Manufacturing
Test - Valley Tundra Moon,"429 CORNER GLEN WY NE, Calgary",CA,Canada,Garden Tools,Residential,Manufacturing
Test - Fire Rosewood Dandelion,"250 SCENIC VIEW CL NW, Calgary",CA,Canada,Waste Management,Residential,Logistics
Test - Savanna Moose Rowan,"7038 EDGEMONT DR NW, Calgary",CA,Canada,Nondurable Goods,Agricultural,Recycling
Test - Saffron Slope Khaki,"194 HASKAYNE DR NW, Calgary",CA,Canada,Electronics,Residential,Warehousing
Test - Jaguar Marigold Mustard,"128 HALLBROOK DR SW, Calgary",CA,Canada,Educational Services,Commercial,Warehousing
Test - Juniper Hawk Foxglove,"223 ROYAL OAK BA NW, Calgary",CA,Canada,Electronic Product Manufacturing,Agricultural,Logistics
Test - Narwhal Gulf Sky,"32 EAGLE RIDGE PL SW, Calgary",CA,Canada,Biotechnology,Commercial,Manufacturing
Test - Azure Thunder Kyanite,"42 ROYAL BIRCH GV NW, Calgary",CA,Canada,Footwear,Industrial,Recycling
Test - Twilight Nickel Bay,"151 CHAPALINA ME SE, Calgary",CA,Canada,Pharmaceuticals,Industrial,Manufacturing
Test - Maple Rapid Gorilla,"4218 38 ST NE, Calgary",CA,Canada,Durable Goods,Industrial,Logistics
Test - Bamboo Tiger Bay,"14 AUBURN SOUND VW SE, Calgary",CA,Canada,Arts & Entertainment,Residential,Recycling
Test - Fuchsia Sequoia Tundra,"435 MOUNTAIN PARK DR SE, Calgary",CA,Canada,Food Manufacturing,Residential,Recycling
Test - Bronze Crater Sky,"59 CORNER GLEN GV NE, Calgary",CA,Canada,Trucking,Commercial,Recycling
Test - Willow Ocelot Verdant,"183 DOUGLASBANK ME SE, Calgary",CA,Canada,Electrical Devices,Agricultural,Recycling
Test - Wander Emerald Fog,"7038 16 AV SE, Calgary",CA,Canada,Books,Agricultural,Manufacturing
Test - Hickory Panda Thunder,"11 EVANSBOROUGH VW NW, Calgary",CA,Canada,Food Industry,Residential,Logistics
Test - Viper Willow Koala,"6 TUSCANY SPRINGS BA NW, Calgary",CA,Canada,Multi-Category,Agricultural,Logistics
Test - Ebony Baobab Periwinkle,"151 HIDDEN VALLEY PA NW, Calgary",CA,Canada,Components,Residential,Warehousing
Test - Orchid Eagle Plum,"11 CORAL SPRINGS GR NE, Calgary",CA,Canada,Rubber Products,Agricultural,Logistics
Test - Chestnut Tempest Ice,"257 MT BREWSTER CI SE, Calgary",CA,Canada,Musical Instruments,Commercial,Logistics
Test - Savanna Bramble Cedar,"480 SILVERADO PLAINS CI SW, Calgary",CA,Canada,Electricity,Agricultural,Logistics
Test - Falcon Teak Rapid,"228 CORNERBROOK DR NE, Calgary",CA,Canada,Food & Beverage,Industrial,Logistics
Test - Antelope Steppe Sunflower,"63 LUCAS CR NW, Calgary",CA,Canada,Chemicals,Agricultural,Manufacturing
Test - Glare Shadow Tempest,"31 BELMONT PL SW, Calgary",CA,Canada,Rubber Products,Agricultural,Manufacturing
Test - Dusk Hill Volcano,"167 WATERLOO DR SW, Calgary",CA,Canada,Hard Goods,Residential,Recycling
Test - Vale Wave Hickory,"124 ROCKYWOOD PA NW, Calgary",CA,Canada,Pharmaceuticals,Agricultural,Recycling
Test - Sun Ravine Fir,"3 SHAWBROOKE CI SW, Calgary",CA,Canada,Farming,Commercial,Recycling
Test - Stream Daisy Pebble,"139 WOOD VALLEY CO SW, Calgary",CA,Canada,Electricity,Industrial,Recycling
Test - Obsidian Feldspar Alabaster,"43 CRANFIELD LI SE, Calgary",CA,Canada,Rubber Products,Agricultural,Logistics
Test - Aurora Eagle Cedar,"203 SAGE HILL RI NW, Calgary",CA,Canada,International Affairs,Commercial,Logistics
Test - Berry Gold Storm,"315 DOUGLASBANK DR SE, Calgary",CA,Canada,Fishing,Commercial,Manufacturing
Test - Buff Willow Beige,"1219 RENFREW DR NE, Calgary",CA,Canada,Home Textiles,Residential,Manufacturing
Test - Kale Taupe Ridge,"323 ABINGER CR NE, Calgary",CA,Canada,Rubber Products,Residential,Manufacturing
Test - Light Bramble Shore,"416 YORKVILLE AV SW, Calgary",CA,Canada,Hunting,Industrial,Logistics
Test - Cave Rosewood Pass,"188 WOLF RIVER DR SE, Calgary",CA,Canada,Recreation,Agricultural,Logistics
Test - Ridge Tornado Teak,"1071 MAHOGANY BV SE, Calgary",CA,Canada,Rail Transportation,Commercial,Warehousing
Test - Gold Azure Azure,"27 KINCORA GV NW, Calgary",CA,Canada,Water Utilities,Residential,Logistics
Test - Mountain Blaze Leaf,"53 SLOPES PT SW, Calgary",CA,Canada,Chemicals,Industrial,Warehousing
Test - Yellow Horizon Beige,"24 BARTLETT CR SE, Calgary",CA,Canada,Recreation,Industrial,Logistics
Test - Zephyr Swamp Fawn,"232 RUNDLEHORN CR NE, Calgary",CA,Canada,Computers,Commercial,Warehousing
Test - Bear Dandelion Narwhal,"11525 42 ST SE, Calgary",CA,Canada,Finance,Commercial,Manufacturing
Test - Glare Chill Azure,"126 37 ST NW, Calgary",CA,Canada,Ground Passenger Transportation,Agricultural,Recycling
Test - Denim Rose Horizon,"78 AMBLEFIELD HT NW, Calgary",CA,Canada,Chemicals,Residential,Recycling
Test - Amethyst Ruby Amethyst,"163 WATERLOO DR SW, Calgary",CA,Canada,Hobby,Agricultural,Recycling
Test - Teak Pine Ridge,"47 SILVER BROOK DR NW, Calgary",CA,Canada,Durable Goods,Residential,Manufacturing
Test - Taupe Tundra Desert,"2220 7 AV NW, Calgary",CA,Canada,Beverages,Residential,Logistics
Test - Buff Plateau Fog,"20 WHITLOW CR NE, Calgary",CA,Canada,Electrical Devices,Commercial,Warehousing
Test - Aspen Birch Bracken,"552 BELMONT PL SW, Calgary",CA,Canada,Research,Industrial,Recycling
Test - Zinnia Cliff Rapid,"1440 11 AV SE, Calgary",CA,Canada,Hospitals,Commercial,Logistics
Test - Emerald Wave Ridge,"191 COVEMEADOW CL NE, Calgary",CA,Canada,Coal,Residential,Manufacturing
Test - Dusk Twilight Amaranth,"15 CEDUNA PA SW, Calgary",CA,Canada,Multi-Category,Agricultural,Logistics
Test - Mustard Willow Ice,"106 CORNERBROOK CR NE, Calgary",CA,Canada,Home Furnishings,Residential,Logistics
Test - Fire Slope Pearl,"356 MAGNOLIA CR SE, Calgary",CA,Canada,Nursing,Industrial,Manufacturing
Test - Panda Harsh Rain,"18 SIMCREST MR SW, Calgary",CA,Canada,Construction,Agricultural,Logistics
Test - Whisper Moss Verdant,"1421 ROBSON CR SE, Calgary",CA,Canada,Arts,Agricultural,Recycling
Test - Orchid Delta Flint,"142 PANATELLA VW NW, Calgary",CA,Canada,Electronic Product Manufacturing,Residential,Logistics
Test - Dusk Khaki Oasis,"471 CREEKSTONE CI SW, Calgary",CA,Canada,Rail Transportation,Residential,Warehousing
Test - Moose Poplar Ridge,"72 MILLSIDE DR SW, Calgary",CA,Canada,Arts,Commercial,Warehousing
Test - Plateau Feldspar Xylo,"278 HARVEST CREEK CL NE, Calgary",CA,Canada,Material Production,Industrial,Recycling
Test - Thunder Storm Dogwood,"129 TARAWOOD CL NE, Calgary",CA,Canada,Finance,Commercial,Warehousing
Test - Cloud Coral Summit,"34 CORAL SPRINGS CO NE, Calgary",CA,Canada,Arts,Agricultural,Manufacturing
Test - Seal Stream Tangerine,"204 SANDERLING PL NW, Calgary",CA,Canada,Home,Agricultural,Logistics
Test - Denim Elder Tundra,"4455 75 AV SE, Calgary",CA,Canada,Gas,Industrial,Recycling
Test - Harsh Gold Diamond,"307 ELDORADO PL NE, Calgary",CA,Canada,Finance,Residential,Recycling
Test - Bramble Silver Lightning,"407 SORA BV SE, Calgary",CA,Canada,Appliances,Agricultural,Manufacturing
Test - Gulf Hazel Crater,"348 SILVERGROVE PL NW, Calgary",CA,Canada,Health,Industrial,Recycling
Test - Oak Kyanite Hematite,"358 EVERGLEN RI SW, Calgary",CA,Canada,Merchant Wholesalers,Commercial,Recycling
Test - Wander Harbor Rose,"409 BELMONT PA SW, Calgary",CA,Canada,Logging,Residential,Recycling
Test - Mistletoe Fog Aurora,"210 SADDLEMONT BV NE, Calgary",CA,Canada,Apparel,Residential,Manufacturing
Test - Lilac Antelope Hemlock,"2512 17 ST SE, Calgary",CA,Canada,Nursing,Commercial,Manufacturing
Test - Xylo Dune Tamarind,"232 LEGACY REACH CM SE, Calgary",CA,Canada,Nursing,Industrial,Recycling
Test - Mistletoe Whisper Swamp,"76 HARVEST PARK RD NE, Calgary",CA,Canada,Textiles,Residential,Manufacturing
Test - Valley Kyanite Yak,"64 FALWOOD CR NE, Calgary",CA,Canada,Apparel Accessories,Commercial,Logistics
Test - Nettle Chill Bear,"107 12 ST NW, Calgary",CA,Canada,Jewelry,Commercial,Warehousing
Test - Bright Falcon Hill,"53 DISCOVERY RIDGE GD SW, Calgary",CA,Canada,Pipeline Transportation,Industrial,Manufacturing
Test - Earth Amaranth Sage,"18 PATTERSON PT SW, Calgary",CA,Canada,Wood Products,Agricultural,Warehousing
Test - Reef Ursa Frost,"22 LORNE PL SW, Calgary",CA,Canada,Electrical Devices,Residential,Manufacturing
Test - Saffron Desert Flame,"3 SPRING CREEK CM SW, Calgary",CA,Canada,Educational Services,Agricultural,Recycling
Test - Antelope Cactus Moss,"3115 12 ST NE, Calgary",CA,Canada,Wholesale Trade,Industrial,Logistics
Test - Kiwi Amethyst Malachite,"109 SCARBORO AV SW, Calgary",CA,Canada,Building Materials,Residential,Logistics
Test - Coral Aspen Wander,"72 WOOD CR SW, Calgary",CA,Canada,Storage,Commercial,Logistics
Test - Hemlock Raspberry Falcon,"534 9 AV SE, Calgary",CA,Canada,Oil & Gas,Residential,Warehousing
Test - Leopard Beige Leaf,"261 EVANSMEADE CI NW, Calgary",CA,Canada,Ground Passenger Transportation,Commercial,Manufacturing
Test - Cloud Ivy Tundra,"38 ASPEN SUMMIT CL SW, Calgary",CA,Canada,Research,Agricultural,Recycling
Test - Rainforest Tamarind Wind,"205 CEDARPARK GR SW, Calgary",CA,Canada,Trucking,Industrial,Recycling
Test - Gold Wisteria Breeze,"1700 73 ST SW, Calgary",CA,Canada,Consumer Electronics,Commercial,Logistics
