name,address,country,country_name,sector,facility_type,processing_type
Test - Tangerine Iris Mulberry,"112 VARSITY GREEN BA NW, Calgary",CA,Canada,Food Manufacturing,Commercial,Warehousing
Test - Quarry Ivy Ravine,"39 SHAWINIGAN RI SW, Calgary",CA,Canada,Electrical Devices,Commercial,Manufacturing
Test - Beech Sun Khaki,"4208 MARWOOD RD NE, Calgary",CA,Canada,Technical Services,Industrial,Logistics
Test - Khaki Ivory Summit,"10811 CITYSCAPE DR NE, Calgary",CA,Canada,Storage,Residential,Recycling
Test - Slope Bronze Oasis,"314 SILVERADO SKIES CM SW, Calgary",CA,Canada,Repair,Industrial,Manufacturing
Test - Redwood Hickory Raspberry,"5839 DALFORD RD NW, Calgary",CA,Canada,Recycling,Residential,Logistics
Test - Hill Grove Savannah,"506 NEW BRIGHTON DR SE, Calgary",CA,Canada,Supplies Dealers,Agricultural,Logistics
Test - Thunder Sassafras Bright,"7920 46 AV NW, Calgary",CA,Canada,Musical Instruments,Residential,Recycling
Test - Savannah Falcon Pond,"112 HOWSE RD NE, Calgary",CA,Canada,Electronic Product Manufacturing,Residential,Logistics
Test - Ridge Ravine Quartz,"425 SKYVIEW RANCH CI NE, Calgary",CA,Canada,Renewable Energy,Agricultural,Logistics
Test - Desert Geranium Rainforest,"104 ROCKY RIDGE HE NW, Calgary",CA,Canada,Musical Instruments,Commercial,Logistics
Test - Topaz Citrine Pearl,"1612 20 AV NW, Calgary",CA,Canada,Medical Equipment & Services,Commercial,Recycling
Test - Gulf Bronze Emerald,"723 RUNDLERIDGE DR NE, Calgary",CA,Canada,Oil & Gas,Residential,Manufacturing
Test - Magenta Myrtle Zephyr,"61 VARSITY ESTATES VW NW, Calgary",CA,Canada,Electrical Devices,Agricultural,Manufacturing
Test - Hibiscus Charcoal Mistletoe,"86 GORDON DR SW, Calgary",CA,Canada,Energy Production & Utilities,Commercial,Manufacturing
Test - Valley Earth Chestnut,"2931 WOLFE ST SW, Calgary",CA,Canada,Aquaculture,Commercial,Logistics
Test - Reef Bright Summit,"20 WOODSTOCK WY SW, Calgary",CA,Canada,Animal Production,Commercial,Manufacturing
Test - Hemlock Mulberry Hematite,"78 FONDA DR SE, Calgary",CA,Canada,Home,Commercial,Manufacturing
Test - Cloud Rowan Lilac,"78 HAMPSTEAD VW NW, Calgary",CA,Canada,Coal,Commercial,Logistics
Test - Opal Cougar Walnut,"54 SHERVIEW HT NW, Calgary",CA,Canada,Medical Equipment & Services,Commercial,Warehousing
Test - Ginkgo Sunflower Dandelion,"448 LEGACY BV SE, Calgary",CA,Canada,Air Transportation,Commercial,Logistics
Test - Kyanite Canyon Rain,"2227 25A ST SW, Calgary",CA,Canada,Jewelry,Commercial,Logistics
Test - Jaguar Isle Feldspar,"3044 6 ST SW, Calgary",CA,Canada,Utilities,Residential,Warehousing
Test - Cloud Mist Hawk,"61 NOLANCREST GR NW, Calgary",CA,Canada,Renting,Commercial,Manufacturing
Test - Reef Zephyr Steppe,"233 MASTERS RD SE, Calgary",CA,Canada,Construction,Industrial,Manufacturing
Test - Hawthorn Wave Ultramarine,"1440 VARSITY ESTATES DR NW, Calgary",CA,Canada,Consumer Products,Residential,Logistics
Test - Baobab Dusk Rock,"1072 BRIGHTONCREST CM SE, Calgary",CA,Canada,Healthcare,Agricultural,Logistics
Test - Sage Emerald Ridge,"323 32 AV NE, Calgary",CA,Canada,Air Transportation,Agricultural,Recycling
Test - Ivy Amaranth Poplar,"355 NOLANCREST HT NW, Calgary",CA,Canada,Appliances,Commercial,Warehousing
Test - Foxglove Feldspar Stream,"110 SADDLEPEACE CR NE, Calgary",CA,Canada,Ground Passenger Transportation,Agricultural,Warehousing
Test - Swamp Hill Sun,"22 BRIGHTONSTONE CM SE, Calgary",CA,Canada,Finance,Agricultural,Manufacturing
Test - Mahogany Poppy Horizon,"435 10 AV SE, Calgary",CA,Canada,Medical Equipment & Services,Commercial,Logistics
Test - Yew Stone Reef,"37 WENTWORTH ME SW, Calgary",CA,Canada,Metal Manufacturing,Commercial,Recycling
Test - Creek Jaguar Savannah,"18 CITYSCAPE PA NE, Calgary",CA,Canada,Paper Products,Residential,Manufacturing
Test - Feldspar Magenta Jaguar,"148 WENTWORTH CR SW, Calgary",CA,Canada,Food Manufacturing,Commercial,Warehousing
Test - Jasper Ivy Ocelot,"135 AUBURN MEADOWS PL SE, Calgary",CA,Canada,Home Accessories,Residential,Logistics
Test - Prairie Summit Deer,"31 SHERWOOD CV NW, Calgary",CA,Canada,Agriculture,Residential,Warehousing
Test - Feldspar Nickel Azure,"1507 22 AV SW, Calgary",CA,Canada,Pipeline Transportation,Agricultural,Warehousing
Test - Rock Fern Falcon,"19600 WALDEN BV SE, Calgary",CA,Canada,Tobacco Products,Residential,Warehousing
Test - Acorn Nutmeg Bear,"104 WESTVIEW DR SW, Calgary",CA,Canada,Storage,Residential,Recycling
Test - Woods Sequoia Rock,"4348 70 ST NW, Calgary",CA,Canada,Medical Equipment & Services,Industrial,Recycling
Test - Tide Aurora Acorn,"200 SHERVIEW GV NW, Calgary",CA,Canada,Building Construction,Residential,Warehousing
