name,address,country,country_name,sector,facility_type,processing_type
Test - Panda Savannah Tundra,"137 MAHOGANY PL SE, Calgary",CA,Canada,Automotive,Industrial,Warehousing
Test - Baobab Tangerine Ivory,"474 TARALAKE WY NE, Calgary",CA,Canada,Durable Goods,Residential,Manufacturing
Test - Tulip Sunflower Kyanite,"239 TEMPLEVALE RD NE, Calgary",CA,Canada,Nursing,Industrial,Manufacturing
Test - Nettle Gale Hazel,"982 ALPINE DR SW, Calgary",CA,Canada,Oil & Gas,Industrial,Manufacturing
Test - Shore Savanna Dogwood,"920 19 AV NW, Calgary",CA,Canada,Building Construction,Commercial,Manufacturing
Test - Sequoia Steppe Teak,"10585 48 ST SE, Calgary",CA,Canada,Chemicals,Residential,Logistics
Test - Daffodil Lime Lightning,"1477 NEW BRIGHTON DR SE, Calgary",CA,Canada,Technology,Residential,Warehousing
Test - Kyanite Lilac Silver,"78 COUTURE CR SW, Calgary",CA,Canada,Renewable Energy,Commercial,Manufacturing
Test - Creek Swamp Lime,"572 PANORA WY NW, Calgary",CA,Canada,Hunting,Commercial,Manufacturing
Test - Crater Lilac Laurel,"34 ANAHEIM GR NE, Calgary",CA,Canada,Material Production,Residential,Logistics
Test - Foxglove Fuchsia Indigo,"221 9 AV NE, Calgary",CA,Canada,Information,Residential,Warehousing
Test - Malachite Gorilla Jungle,"1517 15 AV SW, Calgary",CA,Canada,Garden Tools,Agricultural,Recycling
Test - Laurel Bronze Quarry,"719 5 ST NW, Calgary",CA,Canada,Gas,Agricultural,Manufacturing
Test - Quartz Desert Gulf,"160 WOODFORD CL SW, Calgary",CA,Canada,Multi-Category,Agricultural,Manufacturing
Test - Flint Tundra Summit,"2812 39 ST SW, Calgary",CA,Canada,Recycling,Agricultural,Manufacturing
Test - Sky Isle Magnolia,"1922 CORNERSTONE BV NE, Calgary",CA,Canada,Beauty Products,Agricultural,Recycling
Test - Chill Peak Peak,"3404 BULYEA CR NW, Calgary",CA,Canada,Storage,Residential,Warehousing
Test - Harsh Hawk Alder,"2204 KELWOOD DR SW, Calgary",CA,Canada,Hard Goods,Commercial,Warehousing
Test - Glacier Indigo Poplar,"35 BRIDLEGLEN RD SW, Calgary",CA,Canada,Durable Goods,Commercial,Warehousing
Test - Seal Poplar Pine,"100 EVANSRIDGE CL NW, Calgary",CA,Canada,Pharmaceuticals,Agricultural,Recycling
Test - Amaranth Beige Viper,"53 SILVERADO CREEK CR SW, Calgary",CA,Canada,Trucking,Residential,Logistics
Test - Orchid Flint Storm,"133 WOODRIDGE CL SW, Calgary",CA,Canada,Biotechnology,Industrial,Warehousing
Test - Eagle Cliff Spruce,"329 WOODBRIAR PL SW, Calgary",CA,Canada,Hospitals,Industrial,Warehousing
Test - Bracken Ivory Amber,"7 MYSTIC RIDGE WY SW, Calgary",CA,Canada,Machinery Manufacturing,Agricultural,Manufacturing
Test - Quartz Panda Cactus,"5628 MAIDSTONE CR NE, Calgary",CA,Canada,Recycling,Commercial,Logistics
Test - Glare Zinnia Flint,"238 BLACKTHORN RD NE, Calgary",CA,Canada,Supplies Dealers,Agricultural,Warehousing
