name,address,country,country_name,sector,facility_type,processing_type
Test - Sun Inlet Vale,"65 HYSLOP DR SW, Calgary",CA,Canada,Toys,Industrial,Logistics
Test - Ivory Teak Cactus,"6428 SILVER RIDGE WY NW, Calgary",CA,Canada,Home Textiles,Agricultural,Logistics
Test - Wolf Azure Ginkgo,"139 SANDARAC WY NW, Calgary",CA,Canada,Sports Equipment,Agricultural,Manufacturing
Test - Vale Malachite Thunder,"21 SOMERSET CR SW, Calgary",CA,Canada,Agriculture,Commercial,Recycling
Test - Creek Inlet Rose,"11404 WILKES RD SE, Calgary",CA,Canada,Home Furnishings,Commercial,Warehousing
Test - Denim Carmine Tide,"3627 15A ST SE, Calgary",CA,Canada,Food Industry,Industrial,Logistics
Test - Oasis Navy Amber,"181 TUSCARORA CI NW, Calgary",CA,Canada,International Affairs,Commercial,Manufacturing
Test - Bracken Shadow Mist,"735 THORNEYCROFT DR NW, Calgary",CA,Canada,Finance,Residential,Warehousing
Test - Ice Storm Hill,"6103 MADDOCK DR NE, Calgary",CA,Canada,Maritime Transportation,Industrial,Logistics
Test - Dune Hickory Baobab,"416 CANTERBURY PL SW, Calgary",CA,Canada,Trucking,Industrial,Recycling
Test - Moss Obsidian Sun,"319 MOUNTAIN PARK DR SE, Calgary",CA,Canada,Leather,Residential,Recycling
Test - Heliotrope Crater Reef,"5102 RUNDLEVIEW RD NE, Calgary",CA,Canada,Pharmaceuticals,Agricultural,Logistics
Test - Ultramarine Hazel Bracken,"11472 COVENTRY BV NE, Calgary",CA,Canada,Hunting,Residential,Recycling
Test - Ruby Meadow Sun,"923 SIERRA MORENA PL SW, Calgary",CA,Canada,Apparel,Residential,Logistics
Test - Cougar Ice Juniper,"240 WOODHAVEN PL SW, Calgary",CA,Canada,Arts,Agricultural,Recycling
Test - Mountain Sequoia Jade,"2411 PALISWOOD RD SW, Calgary",CA,Canada,Farming,Residential,Manufacturing
Test - River Emerald Dogwood,"923 THORNEYCROFT DR NW, Calgary",CA,Canada,Research,Commercial,Logistics
Test - Hawk Cactus Bear,"19 RUNDLELAWN GR NE, Calgary",CA,Canada,Electronic Product Manufacturing,Commercial,Manufacturing
Test - Ocean Dusk Sequoia,"1822 CORNERSTONE BV NE, Calgary",CA,Canada,Food Manufacturing,Commercial,Logistics
Test - Sand Mist Valley,"99 MACEWAN GLEN RD NW, Calgary",CA,Canada,Entertainment,Industrial,Manufacturing
