name,address,country,country_name,sector,facility_type,processing_type
Test - Woods Denim Sand,"1829 CORNERSTONE BV NE, Calgary",CA,Canada,Equipment,Industrial,Recycling
Test - Echo Glare Ravine,"20 SUNHAVEN WY SE, Calgary",CA,Canada,Parts Dealers,Commercial,Logistics
Test - Jasmine Summit Pass,"652 MACEWAN DR NW, Calgary",CA,Canada,Hospitals,Commercial,Recycling
Test - Lime Rose Navy,"6534 SIERRA MORENA BV SW, Calgary",CA,Canada,Crop Production,Commercial,Recycling
Test - Saffron Malachite Flame,"157 DOUGLAS WOODS CL SE, Calgary",CA,Canada,International Affairs,Commercial,Manufacturing
Test - Quartz Tundra Dogwood,"68 BERMONDSEY CO NW, Calgary",CA,Canada,Warehousing,Agricultural,Logistics
Test - Amber Malachite Periwinkle,"244 CORNERSTONE MR NE, Calgary",CA,Canada,Textiles,Residential,Logistics
Test - Echo Antelope Azure,"26 SETONSTONE GR SE, Calgary",CA,Canada,Accommodation,Agricultural,Warehousing
Test - Amethyst Copper Hawk,"84 LAKE CRIMSON CL SE, Calgary",CA,Canada,Transportation Equipment,Residential,Manufacturing
Test - Quartz Ridge Bliss,"73 PRESTWICK RI SE, Calgary",CA,Canada,Renewable Energy,Agricultural,Warehousing
Test - Yellow Elm Buff,"158 AMBLETON DR NW, Calgary",CA,Canada,Mining,Residential,Logistics
Test - Ivory Lagoon Leopard,"5010 CENTRE ST NE, Calgary",CA,Canada,Merchant Wholesalers,Residential,Manufacturing
Test - Amethyst Swamp Oak,"151 RUNDLEWOOD CL NE, Calgary",CA,Canada,Trucking,Agricultural,Warehousing
Test - Plateau Cave Rainforest,"16 EDGERIDGE WY NW, Calgary",CA,Canada,Automotive Parts,Commercial,Logistics
Test - Myrtle Thyme Tulip,"173 HOMESTEAD CR NE, Calgary",CA,Canada,Merchant Wholesalers,Agricultural,Warehousing
Test - Wolf Light Amaranth,"348 SACKVILLE DR SW, Calgary",CA,Canada,Recycling,Agricultural,Manufacturing
Test - Meadow Koala Quartz,"1415 CENTRE A ST NE, Calgary",CA,Canada,Wood Products,Industrial,Warehousing
Test - Ruby Maple Emerald,"155 CORNERSTONE CR NE, Calgary",CA,Canada,Trucking,Residential,Recycling
Test - Pebble Pine Chestnut,"44 EDCATH ME NW, Calgary",CA,Canada,Electronic Product Manufacturing,Residential,Recycling
Test - Carmine Birch Light,"124 SILVER SPRINGS PL NW, Calgary",CA,Canada,Trucking,Residential,Logistics
Test - Hawthorn Lemon Dogwood,"51 HOWSE HL NE, Calgary",CA,Canada,Beverages,Residential,Recycling
Test - Savanna Bracken Jungle,"11019 OAKFIELD DR SW, Calgary",CA,Canada,Apparel,Residential,Warehousing
Test - Emerald Zircon Pebble,"20 ARBOUR BUTTE WY NW, Calgary",CA,Canada,Accommodation,Commercial,Recycling
Test - Tulip Foxglove Hibiscus,"363 OAKFERN CR SW, Calgary",CA,Canada,Toys,Industrial,Recycling
Test - Knoll Hemlock Antelope,"295 CARRINGHAM WY NW, Calgary",CA,Canada,Commodities,Agricultural,Logistics
Test - Ivory Acorn Zephyr,"632 TEMPLESIDE RD NE, Calgary",CA,Canada,Rubber Products,Commercial,Manufacturing
Test - Savannah Amethyst Orchid,"166 ERIN GV SE, Calgary",CA,Canada,Maritime Transportation,Residential,Recycling
Test - Rainforest Stream Ruby,"44 MAGNOLIA CR SE, Calgary",CA,Canada,Financial Services,Industrial,Manufacturing
Test - Rapid Tundra Wave,"510 12 AV NE, Calgary",CA,Canada,Building Construction,Industrial,Logistics
Test - Saffron Alabaster Emerald,"3032 DOVERVILLE CR SE, Calgary",CA,Canada,Apparel,Commercial,Recycling
Test - Woods Steppe Silver,"2847 BURGESS DR NW, Calgary",CA,Canada,Nursing,Residential,Recycling
Test - Gulf Ice Crater,"232 OGDEN CR SE, Calgary",CA,Canada,Chemicals,Agricultural,Manufacturing
